size,price,usdc_value,fee,timestamp,side
1.0,0.18,0.18,0,2025-11-27 13:22:49,SELL
20.0,0.415,8.299999999999999,0,2025-11-27 13:22:49,SELL
1.726906,0.9959997822695619,1.7199980000000001,0,2025-11-27 13:22:49,BUY
40.0,0.67,26.8,0,2025-11-27 13:22:49,BUY
32.44,0.36,11.678399999999998,0,2025-11-27 13:22:49,BUY
10.0,0.34,3.4000000000000004,0,2025-11-27 13:22:49,BUY
15.0,0.12,1.7999999999999998,0,2025-11-27 13:22:49,SELL
70.0,0.16,11.200000000000001,0,2025-11-27 13:22:51,SELL
40.0,0.7,28.0,0,2025-11-27 13:22:51,BUY
9.0,0.84,7.56,0,2025-11-27 13:22:51,BUY
9.0,0.84,7.56,0,2025-11-27 13:22:51,BUY
1.681,0.999,1.679319,0,2025-11-27 13:22:51,BUY
12.0,0.2,2.4000000000000004,0,2025-11-27 13:22:51,BUY
9.0,0.84,7.56,0,2025-11-27 13:22:51,BUY
1.960783,0.5099998316998873,0.9999990000000001,0,2025-11-27 13:22:51,BUY
85.0,0.27,22.950000000000003,0,2025-11-27 13:22:51,BUY
9.0,0.84,7.56,0,2025-11-27 13:22:51,BUY
0.92,0.84,0.7728,0,2025-11-27 13:22:51,BUY
1.02,0.18,0.18359999999999999,0,2025-11-27 13:22:51,SELL
15.0,0.25,3.75,0,2025-11-27 13:22:51,SELL
500.01,0.94,470.00939999999997,0,2025-11-27 13:22:51,SELL
15.0,0.64,9.6,0,2025-11-27 13:22:51,SELL
70.0,0.16,11.200000000000001,0,2025-11-27 13:22:51,SELL
10.0,0.84,8.4,0,2025-11-27 13:22:51,BUY
3.035712,0.8399999736470389,2.549998,0,2025-11-27 13:22:53,BUY
2.9855,0.998,2.979529,0,2025-11-27 13:22:53,BUY
5.0,0.998,4.99,0,2025-11-27 13:22:53,BUY
10.0,0.29,2.9,0,2025-11-27 13:22:53,BUY
10.0,0.85,8.5,0,2025-11-27 13:22:53,BUY
1.049316,0.9529998589557388,0.9999979999999999,0,2025-11-27 13:22:53,BUY
19.607842,0.5099999785799988,9.999999,0,2025-11-27 13:22:53,BUY
17.08,0.9341451990632319,15.9552,0,2025-11-27 13:22:53,BUY
3.448274,0.8699998897999405,2.999998,0,2025-11-27 13:22:53,BUY
29.0,0.75,21.75,0,2025-11-27 13:22:53,BUY
11.0,0.68,7.48,0,2025-11-27 13:22:53,BUY
125.0,0.16,20.0,0,2025-11-27 13:22:53,BUY
2.0,0.57,1.14,0,2025-11-27 13:22:53,BUY
1.3325,0.998,1.329835,0,2025-11-27 13:22:55,BUY
340.0,0.003,1.02,0,2025-11-27 13:22:55,BUY
160.0,0.5,80.0,0,2025-11-27 13:22:55,BUY
19.230768,0.25999996463999775,4.999999000000001,0,2025-11-27 13:22:55,BUY
2.777776,0.7199997407998341,1.9999979999999997,0,2025-11-27 13:22:55,BUY
10.0,0.16,1.6,0,2025-11-27 13:22:55,SELL
2000.0,0.001,2.0,0,2025-11-27 13:22:55,BUY
100.0,0.999,99.9,0,2025-11-27 13:22:57,BUY
1.85185,0.54,0.9999990000000001,0,2025-11-27 13:22:57,BUY
1.388887,0.7199995391993733,0.9999979999999999,0,2025-11-27 13:22:57,BUY
71.06,0.984,69.92304,0,2025-11-27 13:22:57,SELL
5.0,0.61,3.05,0,2025-11-27 13:22:57,SELL
3.0,0.34,1.02,0,2025-11-27 13:22:59,BUY
10.0,0.34,3.4000000000000004,0,2025-11-27 13:22:59,BUY
303.0,0.59,178.76999999999998,0,2025-11-27 13:22:59,BUY
9.0,0.85,7.6499999999999995,0,2025-11-27 13:22:59,BUY
9.0,0.85,7.6499999999999995,0,2025-11-27 13:22:59,BUY
10.0,0.983,9.83,0,2025-11-27 13:22:59,SELL
132.11,0.4715138899402013,62.291700000000006,0,2025-11-27 13:23:01,SELL
100.0,0.02,2.0,0,2025-11-27 13:23:01,BUY
5.0,0.685,3.4250000000000003,0,2025-11-27 13:23:01,BUY
5.0,0.316,1.58,0,2025-11-27 13:23:01,BUY
15.0,0.16,2.4,0,2025-11-27 13:23:01,BUY
1010.0,0.5,505.0,0,2025-11-27 13:23:01,BUY
285.714284,0.3499999986,99.999999,0,2025-11-27 13:23:03,BUY
2.0,0.57,1.14,0,2025-11-27 13:23:03,BUY
48.0,0.57,27.36,0,2025-11-27 13:23:03,BUY
1.573603,0.9849993931124941,1.549998,0,2025-11-27 13:23:03,BUY
1.001,0.999,0.9999989999999999,0,2025-11-27 13:23:03,BUY
100.0,0.006,0.6,0,2025-11-27 13:23:03,BUY
8.34,0.14,1.1676000000000002,0,2025-11-27 13:23:03,SELL
20.0,0.85,17.0,0,2025-11-27 13:23:03,SELL
111.0,0.99,109.89,0,2025-11-27 13:23:03,SELL
7.95,0.16,1.272,0,2025-11-27 13:23:03,BUY
50.0,0.16,8.0,0,2025-11-27 13:23:05,BUY
17.247,0.999,17.229753,0,2025-11-27 13:23:05,BUY
6.0,0.17,1.02,0,2025-11-27 13:23:05,BUY
1.28205,0.78,0.999999,0,2025-11-27 13:23:05,BUY
1.5,0.85,1.275,0,2025-11-27 13:23:05,BUY
94.094,0.999,93.999906,0,2025-11-27 13:23:05,BUY
20.0,0.974,19.48,0,2025-11-27 13:23:05,BUY
2000.0,0.001,2.0,0,2025-11-27 13:23:05,BUY
21.276583,0.9399999990599994,19.999988,0,2025-11-27 13:23:05,BUY
14.44,0.138,1.99272,0,2025-11-27 13:23:05,BUY
7.0,0.85,5.95,0,2025-11-27 13:23:05,BUY
116.642221,0.17840880276105167,20.809999,0,2025-11-27 13:23:05,BUY
98.039214,0.509999998572,49.999998999999995,0,2025-11-27 13:23:05,BUY
511.0,0.5,255.5,0,2025-11-27 13:23:05,BUY
